 0.000000000000  0.318422323464  0.000000000000  0.965205013159  0.000000000000  1.669738743039  0.000000000000  2.265300632848  0.000000000000  3.617099336539  0.000000000000  5.385848110746  0.000000000000  7.472116741952  0.000000000000  9.839304785470  0.000000000000
 0.008726646260  0.318365901261 -0.005849385160  0.965076499715 -0.017293543663  1.669922278731 -0.012978437456  2.264637847967 -0.034670499347  3.616397919089 -0.068035371431  5.384905477576 -0.101198050838  7.470918912840 -0.137490624953  9.837818616583 -0.176969311009
 0.017453292520  0.318196659397 -0.011696444528  0.964690481909 -0.034590200147  1.670474222834 -0.025912081848  2.262648759723 -0.069350577089  3.614293959101 -0.136049254719  5.382077683888 -0.202367504798  7.467325607617 -0.274947774114  9.833360708238 -0.353893143164
 0.026179938780  0.317914672109 -0.017538853132  0.964045533165 -0.051892966935  1.671398484277 -0.038755186000  2.259331265503 -0.104050923723  3.610788332246 -0.204020126211  5.377365046785 -0.303479755348  7.461337370751 -0.412337998932  9.825932854226 -0.530726096400
 0.034906585040  0.317520063164 -0.023374287654  0.963139295479 -0.069204611587  1.672701223878 -0.051460074466  2.254682201639 -0.138784472859  3.605882493258 -0.271926391652  5.370768093540 -0.404506176528  7.452955103493 -0.549627905137  9.815538040330 -0.707422928703
 0.043633231300  0.317013005894 -0.029200427259  0.961968509008 -0.086527558732  1.674390275407 -0.063976137275  2.248697901994 -0.173567561858  3.599578468956 -0.339746351915  5.362287559787 -0.505418112978  7.442180054535 -0.686784179357  9.802180438360 -0.883938636316
 0.052359877560  0.316393723261 -0.035014954450  0.960529053855 -0.103863779596  1.676474237291 -0.076248798395  2.241375077293 -0.208421114027  3.591878848637 -0.407458169961  5.351924387029 -0.606186869621  7.429013806907 -0.823773615091  9.785865397623 -1.060228535374
 0.061086523820  0.315662487940 -0.040815555925  0.958816004256 -0.121214685216  1.678961134698 -0.088218500633  2.232712114987 -0.243371798996  3.582786772023 -0.475039839418  5.339679719547 -0.706783700931  7.413458261057 -0.960563137810  9.766599433491 -1.236248345438
 0.069813170080  0.314819622397 -0.046599923472  0.956823695351 -0.138581024722  1.681856526638 -0.099819808440  2.222710924657 -0.278453068165  3.572305914975 -0.542469155168  5.325554900743 -0.807179799652  7.395515614052 -1.097119828932  9.744390212814 -1.411954275429
 0.078539816340  0.313865498998 -0.052365754875  0.954545802560 -0.155962790287  1.685160926232 -0.110980824255  2.211379460470 -0.313705867511  3.560440473270 -0.609723686290  5.309551469045 -0.907346284866  7.375188334849 -1.233410948389  9.719246535721 -1.587303112431
 0.087266462600  0.312800540112 -0.058110754852  0.951975433326 -0.173359130575  1.688866442490 -0.121623249240  2.198735012295 -0.349178694869  3.547195144745 -0.676780751691  5.291671153450 -1.007254189324  7.352479135588 -1.369403955484  9.691178313322 -1.762252313891
 0.095993108860  0.311625218218 -0.063832636021  0.949105230655 -0.190768274693  1.692952685690 -0.131663584086  2.184808223505 -0.384926503657  3.532575110194 -0.743617398713  5.271915868826 -1.106874445911  7.327390938805 -1.505066527709  9.660196540677 -1.936760103667
 0.104719755120  0.310340056025 -0.069529119908  0.945927487451 -0.208187468721  1.697382266701 -0.141016106445  2.169647505754 -0.421007814201  3.516586013430 -0.810210384962  5.250287711133 -1.206177873158  7.299926840542 -1.640366577140  9.626313264305 -2.110785572462
 0.113446401380  0.308945626567 -0.075197937980  0.942434270162 -0.225612926867  1.702096701705 -0.149598247894  2.153323040291 -0.457479407593  3.499233940971 -0.876536163540  5.226788952688 -1.305135159712  7.270090069276 -1.775272263992  9.589541543345 -2.284288783103
 0.122173047640  0.307442553311 -0.080836832717  0.938617549720 -0.243039799165  1.707014135537 -0.157338612792  2.135928954084 -0.494388357638  3.480525401813 -0.942570871829  5.201422037655 -1.403716847652  7.237883940638 -1.909752006879  9.549895403322 -2.457230881127
 0.130899693900  0.305831510242 -0.086443558730  0.934469337291 -0.260462157270  1.712030712391 -0.164186941454  2.117581844013 -0.531762096959  3.460467307815 -1.008290323862  5.174189577964 -1.501893314593  7.203311807896 -2.043774489252  9.507389781295 -2.629574211139
 0.139626340160  0.304113221935 -0.092015883911  0.929981821860 -0.277872999467  1.717027096662 -0.170123925181  2.098414148787 -0.569598608602  3.439066955129 -1.073670006286  5.145094349829 -1.599634754480  7.166377008225 -2.177308661444  9.462040460976 -2.801282439295
 0.148352986420  0.302288463598 -0.097551590627  0.925147506419 -0.295264275433  1.721880123159 -0.175167637900  2.078562392176 -0.607859978038  3.416332007236 -1.138685077851  5.114139291123 -1.696911157023  7.127082804821 -2.310323737694  9.413863996123 -2.972320682267
 0.157079632679  0.300358061102 -0.103048476951  0.919959339274 -0.312626930520  1.726477179613 -0.179373585124  2.058152697528 -0.646472305254  3.392270479969 -1.203310372244  5.081327499812 -1.793692285716  7.085432324946 -2.442789187437  9.362877620278 -3.142655642862
 0.165806278939  0.298322890970 -0.108504357938  0.914410837061 -0.329950968667  1.730729137019 -0.182827518775  2.037287761122 -0.685332829595  3.366890728967 -1.267520404108  5.046662233736 -1.889947654410  7.041428494102 -2.574674720123  9.309099140635 -3.312255752424
 0.174532925199  0.296183880330 -0.113917066932  0.908496196241 -0.347225532203  1.734577964311 -0.185633177860  2.016039150590 -0.724322109363  3.340201439923 -1.331289377938  5.010146911979 -1.985646502408  6.995073966583 -2.705950262712  9.252546813400 -3.481091319875
